Binário,Char
100001,!
100010,""""
100011,#
100100,$
100101,%
100110,&
100111,
101000,(
101010,)
101001,*
101011,#ERROR!
101100,","
101101,–
101110,.
101111,/
110000,0
110001,1
110010,2
110011,3
110100,4
110101,5
110110,6
110111,7
111000,8
111001,9
111010,:
111011,;
111100,<
111101,#ERROR!
111110,>
111111,?
1000000,@
1000001,A
1000010,B
1000011,C
1000100,D
1000101,E
1000110,F
1000111,G
1001000,H
1001001,I
1001010,J
1001011,K
1001100,L
1001101,M
1001110,N
1001111,O
1010000,P
1010001,Q
1010010,R
1010011,S
1010100,T
1010101,U
1010110,V
1010111,W
1011000,X
1011001,Y
1011010,Z
1011011,[
1011100,\
1011101,]
1011110,^
1011111,_
1100000,`
1100001,a
1100010,b
1100011,c
1100100,d
1100101,e
1100110,f
1100111,g
1101000,h
1101001,i
1101010,j
1101011,k
1101100,l
1101101,m
1101110,n
1101111,o
1110000,p
1110001,q
1110010,r
1110011,s
1110100,t
1110101,u
1110110,v
1110111,w
1111000,x
1111001,y
1111010,z
1111011,{
1111100,|
1111101,}
1111110,~
1111111,Del
10000000,Ç
10000001,ü
10000010,é
10000011,â
10000100,ä
10000101,à
10000110,å
10000111,ç
10001000,ê
10001001,ë
10001010,è
10001011,ï
10001100,î
10001101,ì
10001110,Ä
10001111,Å
10010000,É
10010001,æ
10010010,Æ
10010011,ô
10010100,ö
10010101,ò
10010110,û
10010111,ù
10011000,ÿ
10011001,Ö
10011010,Ü
10011011,ø
10011100,£
10011101,Ø
10011110,×
10011111,ƒ
10100000,á
10100001,ù
10100010,ó
10100011,ú
10100100,ñ
10100101,Ñ
10100110,ª
10100111,º
10101000,¿
10101001,®
10101010,¬
10101011,½
10101100,¼
10101101,¡
10101110,«
10101111,»
10110000,░
10110001,▒
10110010,▓
10110011,│
10110100,┤
10110101,Á
10110110,Â
10110111,À
10111000,©
10111001,╣
10111010,║
10111011,╗
10111100,╝
10111101,¢
10111110,¥
10111111,┐
11000000,└
11000001,┴
11000010,┬
11000011,├
11000100,─
11000101,┼
11000110,ã
11000111,Ã
11001000,╚
11001001,╔
11001010,╩
11001011,╦
11001100,╠
11001101,═
11001110,╬
11001111,¤
11010000,ð
11010001,Ð
11010010,Ê
11010011,Ë
11010100,È
11010101,ı
11010110,Í
11010111,Î
11011000,Ï
11011001,┘
11011010,┌
11011011,█
11011100,▄
11011101,¦
11011110,Ì
11011111,▀
11100000,Ó
11100001,ß
11100010,Ô
11100011,Ò
11100100,õ
11100101,Õ
11100110,µ
11100111,þ
11101000,Þ
11101001,Ú
11101010,Û
11101011,Ù
11101100,ý
11101101,Ý
11101110,¯
11101111,´
11110000,­­
11110001,±
11110010,‗
11110011,¾
11110100,¶
11110101,§
11110110,÷
11110111,¸
11111000,°
11111001,¨
11111010,·
11111011,¹
11111100,³
11111101,²
11111110,■
11111111,